station_id,station,tg,lat,lon,num_year,corrn,rmse,gssr_archive,archive_available,passes_years_ge25,passes_corr_ge045,passes_corr_ge055,passes_corr_ge065,selected_base_30,selection_reason,match_dist_km,coast_rp_rp10_m,deltadtm_tile_available,deltadtm_tiles
millport-p049-uk,Millport P049 Uk,millport-p049-uk-bodc.csv,55.75,-4.9058,35,0.8077434436729396,0.1306161268445088,millport_p049_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.6640781018002286,2.7170000076293945,True,DeltaDTM_v1_1_N55W005.tif
holyhead-p054-uk,Holyhead P054 Uk,holyhead-p054-uk-bodc.csv,53.308,-4.6312,35,0.8055445593855491,0.10497092170850904,holyhead_p054_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.6409171148649937,3.315000057220459,True,DeltaDTM_v1_1_N53W005.tif
sheerness-p015-uk,Sheerness,sheerness-p015-uk-bodc.csv,51.442,0.74306,27,0.6684479366660454,0.17471625646671107,sheerness_p015_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.4927874549512442,5.25600004196167,True,DeltaDTM_v1_1_N51E000.tif
heysham-p050-uk,Heysham P050 Uk,heysham-p050-uk-bodc.csv,54.032,-2.9204,35,0.7831946677781411,0.16044926780472052,heysham_p050_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.15272967644424593,6.624000072479248,True,DeltaDTM_v1_1_N54W003.tif;DeltaDTM_v1_1_N53W003.tif
northshields-p032-uk,Northshields P032 Uk,northshields-p032-uk-bodc.csv,55.007,-1.4398,35,0.7648673943441429,0.10636993847133293,northshields_p032_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.9356076661653266,3.302000045776367,True,DeltaDTM_v1_1_N54W002.tif;DeltaDTM_v1_1_N55W002.tif
whitby-p174-uk,Whitby P174 Uk,whitby-p174-uk-bodc.csv,54.49,-0.61417,35,0.7230387005191082,0.12829502887123087,whitby_p174_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.6840003931342477,3.430999994277954,True,DeltaDTM_v1_1_N54W001.tif
dover-p012-uk,Dover P012 Uk,dover-p012-uk-bodc.csv,51.117,1.3181,34,0.7433050574164776,0.1209285142843115,dover_p012_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.50788422881673,4.618000030517578,True,DeltaDTM_v1_1_N51E001.tif
ullapool-p043-uk,Ullapool P043 Uk,ullapool-p043-uk-bodc.csv,57.895,-5.1579,33,0.8176345161406837,0.1106227649103039,ullapool_p043_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.49105561564954814,3.25600004196167,True,DeltaDTM_v1_1_N57W006.tif
newhaven-p011-uk,Newhaven P011 Uk,newhaven-p011-uk-bodc.csv,50.782,0.05703,33,0.7538206075873588,0.09352276976747352,newhaven_p011_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.5395065039179817,4.261000156402588,True,DeltaDTM_v1_1_N50E000.tif
calais,Calais France,calais-france-refmar.csv,50.968999999999994,1.8677,33,0.7228796635841743,0.1446440113478024,calais_.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,1.6681851084393278,4.699999809265137,True,DeltaDTM_v1_1_N51E001.tif;DeltaDTM_v1_1_N50E001.tif
ilfracombe-p061-uk,Ilfracombe P061 Uk,ilfracombe-p061-uk-bodc.csv,51.21100000000001,-4.1109,32,0.7740608676853155,0.09820716873635822,ilfracombe_p061_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.7893686301624632,5.764999866485596,True,DeltaDTM_v1_1_N51W005.tif
felixstowe-p204-uk,Felixstowe P204 Uk,felixstowe-p204-uk-bodc.csv,51.957,1.3484,30,0.7282495856180851,0.14915713782588694,felixstowe_p204_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.8060091662253237,3.75,True,DeltaDTM_v1_1_N51E001.tif
cordemais,Cordemais France,cordemais-france-refmar.csv,47.277,-1.8898,29,0.6594648861419706,0.16453612891671382,cordemais_.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,22.647351215355688,3.2760000228881836,True,DeltaDTM_v1_1_N47W002.tif
le-pellerin,Le Pellerin France,le_pellerin-france-refmar.csv,47.205,-1.7651,29,0.4690437785219072,0.2797210944382936,le_pellerin_.7z,True,True,True,False,False,False,excluded: reconstruction correlation below 0.55,28.38796447313961,3.440000057220459,True,DeltaDTM_v1_1_N47W002.tif
nantes-usine-brulee,Nantes Usine Brulee,nantes_usine_brulee-france-refmar.csv,47.20399999999999,-1.5742,28,0.4070532407492681,0.3401971645833999,nantes_usine_brulee_.7z,True,True,False,False,False,False,excluded: reconstruction correlation below 0.55,39.422969022008004,3.440000057220459,True,DeltaDTM_v1_1_N47W002.tif
leith-p034-uk,Leith P034 Uk,leith-p034-uk-bodc.csv,55.99,-3.1817,27,0.7745194961778761,0.09857047801352077,leith_p034_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.5189396857548381,3.5889999866485596,True,DeltaDTM_v1_1_N56W004.tif;DeltaDTM_v1_1_N55W004.tif
tobermory-p223-uk,Tobermory P223 Uk,tobermory-p223-uk-bodc.csv,56.62300000000001,-6.0642,26,0.8136527888227519,0.1147726871683278,tobermory_p223_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.4542674993488369,3.0910000801086426,True,DeltaDTM_v1_1_N56W007.tif
donges,Donges France,donges-france-refmar.csv,47.306000000000004,-2.0883,26,0.789490409522372,0.11189907407592307,donges_.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,8.277975956437524,3.2760000228881836,True,DeltaDTM_v1_1_N47W003.tif
cromer-p183-uk,Cromer P183 Uk,cromer-p183-uk-bodc.csv,52.934,1.3016,26,0.7026372900401091,0.16605513516921985,cromer_p183_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.4363097932395557,3.740000009536743,True,DeltaDTM_v1_1_N52E001.tif
avonmouth-p060-uk,Avonmouth P060 Uk,avonmouth-p060-uk-bodc.csv,51.511,-2.715,26,0.5711256515912323,0.20894813203022947,avonmouth_p060_uk.7z,True,True,True,True,False,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.13840816014044804,8.786999702453613,True,DeltaDTM_v1_1_N51W003.tif
hinkleypoint-p003-uk,Hinkleypoint P003 Uk,hinkleypoint-p003-uk-bodc.csv,51.215,-3.1343,25,0.6973044967150722,0.15110585808208069,hinkleypoint_p003_uk.7z,True,True,True,True,True,False,excluded: passed filters but outside top-30 fill after retaining focal core sites,0.6080124463089123,7.734000205993652,True,DeltaDTM_v1_1_N51W004.tif
mumbles-p932-uk,Mumbles P932 Uk,mumbles-p932-uk-bodc.csv,51.57,-3.9754,24,0.7773139067909542,0.10957246498007077,mumbles_p932_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.11058243410889791,5.824999809265137,True,DeltaDTM_v1_1_N51W004.tif;DeltaDTM_v1_1_N51W005.tif
devonport-p002-uk,Devonport P002 Uk,devonport-p002-uk-bodc.csv,50.368,-4.1852,24,0.7707618696915584,0.08301090932315305,devonport_p002_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.2527009309996056,3.0480000972747803,True,DeltaDTM_v1_1_N50W005.tif
weymouth-p991-uk,Weymouth P991 Uk,weymouth-p991-uk-bodc.csv,50.608000000000004,-2.4479,24,0.7604782886380961,0.0851881857622836,weymouth_p991_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.8387611058243979,1.9019999504089355,True,DeltaDTM_v1_1_N50W003.tif
barmouth-p923-uk,Barmouth P923 Uk,barmouth-p923-uk-bodc.csv,52.718999999999994,-4.0452,24,0.7558635606661144,0.14784764272778134,barmouth_p923_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,1.5441251059325087,3.5250000953674316,True,DeltaDTM_v1_1_N52W005.tif
portsmouth-p008-uk,Portsmouth P008 Uk,portsmouth-p008-uk-bodc.csv,50.803000000000004,-1.1118,24,0.7379678007041195,0.09378927257269898,portsmouth_p008_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.68924288062033,2.7669999599456787,True,DeltaDTM_v1_1_N50W002.tif
malin-head-834a-ireland,Malin Head 834a,malin_head-834a-ireland-uhslc.csv,55.367,-7.3333,24,0.6885279071228492,0.14473053404705302,malin_head_834a_ireland.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.34372716981714496,2.555000066757202,True,DeltaDTM_v1_1_N55W008.tif
kinlochbervi-p918-uk,Kinlochbervi P918 Uk,kinlochbervi-p918-uk-bodc.csv,58.457,-5.0504,23,0.8256525914192668,0.11086744258642578,kinlochbervi_p918_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,2.3143094507348865,3.1510000228881836,True,DeltaDTM_v1_1_N58W006.tif
porterin-p919-uk,Porterin P919 Uk,porterin-p919-uk-bodc.csv,54.085,-4.7681,23,0.8076482420015287,0.10763033732597872,porterin_p919_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.44490544403143856,3.640000104904175,True,DeltaDTM_v1_1_N54W005.tif
workington-p217-uk,Workington P217 Uk,workington-p217-uk-bodc.csv,54.651,-3.5676,23,0.7946634680850224,0.14533876254182612,workington_p217_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,1.112541052229465,5.426000118255615,True,DeltaDTM_v1_1_N54W004.tif
sthelier-p074-uk,Sthelier P074 Uk,sthelier-p074-uk-bodc.csv,49.183,-2.1167,23,0.7696754529322409,0.09706824227199112,sthelier_p074_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.11340069523039613,6.500999927520752,True,DeltaDTM_v1_1_N49W003.tif
gladstone-p234-uk,Gladstone P234 Uk,gladstone-p234-uk-bodc.csv,53.45,-3.0180000000000002,23,0.7675975524111014,0.1541187337787804,gladstone_p234_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.7239068768526228,5.577000141143799,True,DeltaDTM_v1_1_N53W004.tif;DeltaDTM_v1_1_N53W003.tif
llandudno-p007-uk,Llandudno P007 Uk,llandudno-p007-uk-bodc.csv,53.332,-3.8252,21,0.6694648359059243,0.19477417042521525,llandudno_p007_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.5884438931502196,5.040999889373779,True,DeltaDTM_v1_1_N53W004.tif
portellen-p202-uk,Portellen P202 Uk,portellen-p202-uk-bodc.csv,55.626999999999995,-6.1901,20,0.8195141029226296,0.11446838270109115,portellen_p202_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.06904801102449615,1.437000036239624,True,DeltaDTM_v1_1_N55W007.tif
saint-malo,Saint Malo France,saint-malo-france-refmar.csv,48.64100000000001,-2.0281,20,0.7246898262478763,0.10040966717757407,saint_malo_.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.1294324044256098,7.427999973297119,True,DeltaDTM_v1_1_N48W003.tif;DeltaDTM_v1_1_N48W002.tif
newport-p057-uk,Newport P057 Uk,newport-p057-uk-bodc.csv,51.55,-2.9874,20,0.5756239262099345,0.1985547948307252,newport_p057_uk.7z,True,False,True,True,False,False,excluded: fewer than 25 metadata years,0.7106021951361563,8.60200023651123,True,DeltaDTM_v1_1_N51W004.tif;DeltaDTM_v1_1_N51W003.tif
portrush-p935-uk,Portrush P935 Uk,portrush-p935-uk-bodc.csv,55.207,-6.6568,19,0.8141379251676881,0.10431913085366266,portrush_p935_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.4513471141496154,2.005000114440918,True,DeltaDTM_v1_1_N55W007.tif
bangor-p662-uk,Bangor P662 Uk,bangor-p662-uk-bodc.csv,54.665,-5.6695,19,0.8043633796544759,0.10725229003808584,bangor_p662_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,2.8109575972725023,2.615000009536743,True,DeltaDTM_v1_1_N54W006.tif
stmarys-p231-uk,Stmarys P231 Uk,stmarys-p231-uk-bodc.csv,49.918,-6.3164,18,0.818359394065871,0.06855643914771332,stmarys_p231_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.4687108841051639,3.371000051498413,True,DeltaDTM_v1_1_N49W007.tif
bournemouth-p988-uk,Bournemouth P988 Uk,bournemouth-p988-uk-bodc.csv,50.714,-1.8749,17,0.7499152349681946,0.08640033022096512,bournemouth_p988_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.8253959847359706,1.3949999809265137,True,DeltaDTM_v1_1_N50W002.tif
concarneau,Concarneau France,concarneau-france-refmar.csv,47.873999999999995,-3.9072,15,0.7697711680005387,0.09051704372655664,concarneau_.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,1.3732495120914947,3.0350000858306885,True,DeltaDTM_v1_1_N47W004.tif
le-crouesty,Le Crouesty France,le_crouesty-france-refmar.csv,47.543,-2.8952,12,0.7934613215579938,0.0874937088052527,le_crouesty_.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.1991009900528072,3.13100004196167,True,DeltaDTM_v1_1_N47W003.tif
morayfirth-p207-uk,Morayfirth P207 Uk,morayfirth-p207-uk-bodc.csv,57.599,-4.0022,10,0.8202554335546811,0.0844649902864732,morayfirth_p207_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.7044882331703156,2.990000009536743,True,DeltaDTM_v1_1_N57W005.tif;DeltaDTM_v1_1_N57W004.tif
harwich-p022-uk,Harwich P022 Uk,harwich-p022-uk-bodc.csv,51.946999999999996,1.2845,10,0.6911480636102079,0.13976372288310376,harwich_p022_uk.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,0.4766645919401322,3.8610000610351562,True,DeltaDTM_v1_1_N51E001.tif
portbury-p341-uk,Portbury P341 Uk,portbury-p341-uk-bodc.csv,51.5,-2.7285,6,0.5013120829447308,0.20205455105358686,portbury_p341_uk.7z,True,False,True,False,False,False,excluded: fewer than 25 metadata years,0.4121404730238386,8.73799991607666,True,DeltaDTM_v1_1_N51W003.tif
montoir-de-bretagne,Montoir De Bretagne,montoir-de-bretagne-france-refmar.csv,47.306000000000004,-2.1084,3,0.7059772160489287,0.12419114889185165,montoir_de_bretagne_.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,6.896965727110309,3.2760000228881836,True,DeltaDTM_v1_1_N47W003.tif
paimboeuf,Paimboeuf France,paimboeuf-france-refmar.csv,47.287,-2.0004,3,0.6603277308444888,0.13701749127444487,paimboeuf_.7z,True,False,True,True,True,False,excluded: fewer than 25 metadata years,14.337043973772587,3.2760000228881836,True,DeltaDTM_v1_1_N47W003.tif;DeltaDTM_v1_1_N47W002.tif
