File,Bytes,SHA-256
data/raw/coast_rp/COAST-RP.zip,6798999,13242fe8b682230420357dbac202b10590f41dc0c9e378b9c2c69f91962704c9
data/raw/gssr/metadata/eraint.geojson,307194,aab77394a0bf87b3ae611131e26b489a7abe9dd67add071aeee0da4b3bab46e6
data/raw/deltadtm/index/README.md,2326,9da10b0576ff4368a756bd5646b091fab6b7c7c7d217a6f758fbe0803f826e00
data/raw/deltadtm/zips/mask_tiles.zip,428178062,3f8c6999f90346359e60cc6c757786d43fd1cb65e4ab13125faaa80606487775
data/figure_source/Primary_terrain_components_68stations.csv,31386,c516a97298a87ddd8d1746d8975e23afff94043a2a030c2e8eee6707c6c6893e
data/figure_source/Terrain_robustness_grid_74stations.csv,1321599,5708031c3492aa47f2bf456d52df5dcbe1d22ac427e5dc7e5d168723b56539af
data/figure_source/Rank_robustness_one_at_a_time.csv,35926,dc43ead84439e0d72c1f71ddf9bde1cca9334fdbf399e2385a020b3f3b5e2b2d
data/figure_source/Spatial_sector_bootstrap_intervals.csv,1316,2e73a799fcb280cb37daab1a6d7347b632c546b0a4a9bc4d70512d1055e93124
data/figure_source/Topk_spatial_null_curves.csv,5811,ea385515afb10a2448160909057daf2e4e6f2b5356f76d1d6349b9331ee16042
data/figure_source/Return_period_sensitivity.csv,8146,51397a192a4e7e413c0f22d1afb044d17eaca7c956f234c09c00fc49629e8a3b
data/figure_source/Denominator_adjusted_associations.csv,884,0f8dea8b42895a42fa1d672edfe2a022dae900643d6d93c2316633de802a2823
data/figure_source/Topology_sensitivity_summary.csv,422,85f7263bc4da748e07eb96bf6231c94ffe4072d62aa8294743b91ea62916602b
data/figure_source/Match_distance_audit_74stations.csv,37578,d255f5fa00644be1d371c8df1a789c307bbe89f7d463842f151b046203380df0
data/figure_source/TableS_local_dtm_product_datum_crosscheck.csv,9733,6b9c4656676341d87c2ea8b0a84c307c984ed1e04439dca7b3e0563329ae9928
scripts/add_mask_aware_terrain_diagnostics.py,32421,aa8e38aaf0eedfac3628eabd84270fcdbb2c279e1a1fbd8c1afbdb7ef1cf5e16
scripts/rebuild_frozen_primary_analysis.py,21686,057e8bbd4011cac63bfedc58a85c94981eaa1aaa4dd1726b87b7f4f5ca7389cc
scripts/add_external_review_diagnostics.py,28100,b9bb20e4a29c0961500d7961b4a1c7f8e70b70285750b5812e2742f03d312e21
scripts/add_local_dtm_validation.py,20251,f4320a331c77492aa95f1216bc6e12301a5d2ce76a49b46914cff3d636c8a3ef
scripts/make_major_revision_figures.py,41950,4e1c09d6362481d8b283ee1e40b848f52f16c47014381198938db2ece8c2c006
data/raw/local_dtm/delfzijl-del-nl_local_dtm_10m.tif,2204083,a8b3589a24ca9dbcb00d18e24c916e193d37a9b73034c185bf29fcf80a9cbb35
data/raw/local_dtm/denhelder-hel-nl_local_dtm_10m.tif,1310648,b950e177da667509c85bb8a4dc77c4dcbac5b56d85507ea706e968568af15e79
data/raw/local_dtm/hoekvanholla-hvh-nl_local_dtm_10m.tif,1848802,e960ac322ae8e703055a75739d6dee6a65c2ee367e9dc0dd8af1c7f6ff600563
data/raw/local_dtm/immingham-p026-uk_local_dtm_10m.tif,9437675,8567cb377b27480b51f3dbee6ff5501784f3eed237e0ec7e8058ff09789ed6e7
data/raw/local_dtm/lowestoft-p024-uk_local_dtm_10m.tif,6291923,d95f97c91d4df295e6113b98fccbdab4d3bedac1a35c3751464e0b8e61ab2819
data/raw/local_dtm/newlyn-p001-uk_local_dtm_10m.tif,9437675,fef345c91868dd64e5a2e11180ad066b7a1f8ce92305cf26990d70fd0c9e51c2
data/raw/local_dtm/sheerness-p015-uk_local_dtm_10m.tif,9437675,40c81f2a969e0044184d5fb40ebc11728dca5376d2707386e29c90def027cadd
